Tweet,Sentiment
who would you call when you are roused in midnightreminds me of the time(s) they were roommates unhappy  unhappy  unhappy YOU SUCK,Negative
I feel so bad,Negative
 and all the mobbing in Australia,Negative
 I just hope everything goes right from now on unhappy ,Negative
it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,Negative
hungry unhappy  but no time to buy food,Negative
How can I set an alarm for 9am and snooze it until 12 unhappy ,Negative
Sad story unhappy  ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
Hey screenshot sainyo  . Hmm tumagal sana us . Stay what uu are . Im always here fr uu no matter what  . Luv uu so mats ,Negative
Looks awesome Annette,Negative
 but I can't make it unhappy  Thanks for the heads up though. Please take photos!,Negative
 narank 1 ako bcos of yoyou. can you please congratyoulate me even if its already late? unhappy  ,Negative
it can't be over unhappy ,Negative
RELATABLE unhappy ,Negative
how about me unhappy ,Negative
Offline  unhappy ,Negative
heeeeey notice me unhappy ,Negative
i want to hang out with them unhappy ,Negative
he was talking with the girl behind jin unhappy ,Negative
I need cheering up,Negative
 my dog who my family have had for 18 years is being put down tomorrow unhappy ,Negative
Molly  1. I wish I could have her hair unhappy  2. Cutest Michael girl  milly on the phone 3. HAIIIIIIR  and your lips 4. Friend5. Yes6. -,Negative
even me unhappy  *hugs*,Negative
I'm a building a LLVM backend so,Negative
 I really need to build it unhappy ,Negative
I can't access my school emails from any web browser unhappy  Yet I have so much homework for all my subjects on there,Negative
oh sad unhappy  goodluck!,Negative
Ouch Elena Eremina's foot slip,Negative
 that fall was a mess unhappy ,Negative
donny unhappy  ,Negative
you're so rude unhappy  ,Negative
oh my god same! we should attend on some lessons together sometime just kidding HAHAH ,Negative
Every time Meredith has flashbacks of Derek Shepherd I can't hold back the tears unhappy ,Negative
Whew! Can't asses myself unhappy ,Negative
But I no have round ass crying  ,Negative
unhappy  i saw somebody said his hair fell out and bighit trying to figure it out,Negative
koh,Negative
 tolong bantu sampaikan keluhan ARMYs ke dong. Too many complaint here and there since day 1 of ticketing unhappy ,Negative
I keep waking up in the middle of the night sick as shit. unhappy ,Negative
I cringed so hard :(That fall was such a shame- she had been looking really good until that point...,Negative
man its been about 2hrs since their vlive...its nearly over for sydney ppl... unhappy  goes so quick so appreciate every second!!,Negative
Hi Aled,Negative
 having no mobile signal sucks unhappy  What's the full postcode for where this is happening? We're keen to help SI,Negative
That sucks unhappy ,Negative
I'm rusty.. Haven't played this game since I was like 10. Just kept dying at that crocodile part crying  ,Negative
i really really need them right now unhappy ,Negative
Hey guys could you help me by retweeting this? I've heard was legitimate and I really need a VPN account rig,Negative
GOD NOT THE KOALAS ,Negative
Feeling bad unhappy  with 89 others,Negative
And this tweet made me cry!! crying ,Negative
I could write paragraphs about it xDShame its theoretically impossible in real life unhappy ,Negative
Thank you roshhh  i miss you and everyone too.  love youuu more ,Negative
Me too sweetie I know how you feel unhappy ,Negative
When your online crush comes to the meet-up without their Snapchat filter unhappy  ,Negative
.the person who chose shut the fuck up: unhappy ,Negative
sadly yes. since he was expected to continue losing support before dropping bombs unhappy  going up when expe ,Negative
i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,Negative
he could be whatever,Negative
 so? sad,Negative
But the dub is what I watch for Pokemon unhappy ,Negative
are dying of thirst  and it's all because of us unhappy   ,Negative
Youngjae during fansign on 04/10/17 constantly massaging his back. Clearly something wrong but pretended he was not,Negative
but... you use a purple flowercrown in your display picture unhappy ,Negative
i still cant unhappy ,Negative
well that's terrible unhappy ,Negative
Sorry piss off /3 unhappy ,Negative
I woke up at 4:17,Negative
 I'm a joke unhappy ,Negative
So right! Sir Rob loves to torture us unhappy ,Negative
My salary reminds me of the weekends,Negative
 I always know when it come but have no fucking clue how it goes unhappy  ,Negative
i feel so sick today unhappy ,Negative
I wish but I can't sad ,Negative
its my birthday tomorrow baby unhappy ,Negative
I'm slow unhappy  ,Negative
Super unhappy ,Negative
trashing others and having a possee behind you boosts your ego,Negative
 but not your career. unhappy ,Negative
I just finished gym,Negative
 had chopsuey before that unhappy  laughing my ass off humble feeds are always the bomb!,Negative
Still not possible! unhappy ,Negative
whaaaaaaaat!!! You and unhappy  ,Negative
You had loads of toys. All I had was a Sweep hand puppet AND the bastard lost its squeak! unhappy ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
I should do aegyo because I lost unhappy  ,Negative
Also please send prayers and sympathy because my favorite ball dress doesn't fit my boobs crying  ,Negative
I miss snsd. I miss my girls unhappy ,Negative
Being a parent is very challenging. If we cannot control ourselves we'll give the worst output to the children In other word,Negative
 Ngomel crying ,Negative
Jonny you and your poor legs make me so sad unhappy  hope you're okay,Negative
Hope he's ok,Negative
 poor mouse unhappy ,Negative
no its okay she survived : ,Negative
Yeah! My sight reading was pretty good in high school,Negative
 but I'm a bit rusty now! unhappy  ,Negative
Me to self: don't buy that.Also me: but I'm a furry unhappy  ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
i love youu so much unhappy  thank you,Negative
 and have fun ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
so upsetting the abuse these kids get unhappy   3 ,Negative
Oo crying  // Happy3YearsBraceUnited,Negative
exactly same in was thinking.. unhappy  ,Negative
I'm scared unhappy  I mean. Why the heck did I decide to do laundry at 7:30 pm? What is wrong with me. Did I mention how dark it is. FML,Negative
Sunnyside as well unhappy ,Negative
y'all want me to choke what'd I do? unhappy   ( ,Negative
They have a whole Japan tour ahead of them.. One that will be quite brutal on their already tired bodies. Boys unhappy ,Negative
 ahhh I'd be well chuffed,Negative
 didn't even get an easter egg this year! unhappy  xx,Negative
Can someone buy me a tasbih pls? I don't have one unhappy ,Negative
clay and hannah   - they were so in love they deserved to be endgame unhappy  ,Negative
please talk to me about nct instant message lonely i need to fangirl once in a while okay crying ,Negative
this is so sad what the fuck unhappy ,Negative
Please follow me . I have been trying to get your follow for a long time unhappy  . ,Negative
I really enjoyed horrizion zero dawn but no idea what to play next unhappy ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
No more good conversations here unhappy ,Negative
Annoyingly the spaces in the variable width version of the C64 font that's available on the internet are wi ,Negative
i don't like their songs after debyout younhappy  so i can syouggest yoyou jyoust one song i really love,Negative
 it's Adore you  ,Negative
Jackson unhappy  then Youngjae silence  aww,Negative
trop retard sad ,Negative
i'd rather be sailor uranus but chibiusa but if thats everyone says i am unhappy  rip,Negative
And you're right about McConnell as well. Unfortunately,Negative
 we seem to have sold our government some time ago. unhappy ,Negative
I wish my dogs knew how much I hyped them up on snap chat unhappy ,Negative
some people  you intensionly  they don%27t even they please someone unhappy  ,Negative
Very sad unhappy ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
The most painful goodbyes are the onesthat are never said and never explained crying  unhappy  :/,Negative
I miss BMF sad ,Negative
you're got to disappear half way too? unhappy  everybody want to being lazy eue,Negative
#NAME?,Negative
Oh sadly i wont watch her right now  they're forbid me to see her unhappy ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
R.I.P cellphone unhappy ,Negative
and  on the pic? unhappy ,Negative
yeah unhappy ,Negative
don't miss you anymore unhappy ,Negative
okay what TF is this colorful starbucks thing all over social media unhappy ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
Well that's not good unhappy ,Negative
Oh boo,Negative
 mine isn't in my inbox unhappy ,Negative
Didn't keep it unhappy ,Negative
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,Negative
Hi Ishwar! That's not the experience we want you to have unhappy  We will call you  for more details and sort it out! - Roshan,Negative
We All Know unhappy  ,Negative
I'll be as strong as I can but it's hard unhappy  xxx,Negative
I lost two streaks and it's from my two favorite people silence  unhappy  good night,Negative
I can relate to this so so much unhappy  ,Negative
Joy we should get him back  ,Negative
I can't do it all on my own. (See what I did there? ) ,Negative
and they'll brush it off lng telling others not applicable not applicableg-iinot applicablerte lng sila and that other had it worse than them. unhappy ,Negative
usually a speedboat behind any we get here on the river unhappy  ,Negative
Omg I see why you don't drink alcohol Haha so glad your having fun all you guys ! Wish I ,Negative
This happens ALL the time!  unhappy  ,Negative
0 motivation to study unhappy  ,Negative
happy birthday sweet sweet girl! i hope you have the best day ever! love and miss you so much unhappy   ,Negative
NMD R2's so ugly unhappy  ,Negative
my honey unhappy  ,Negative
philippines? unhappy  ,Negative
I want to but I wouldn't be able to get time off for it and don't know people in my year to go with unhappy  ,Negative
unhappy  friendzone. damn sad,Negative
I cried so much,Negative
 I was a mess. I went to bed feeling numb it was awful unhappy ,Negative
 [PLEASE RT] he'll buy me a blinking taehyung headband,Negative
 if i get 900 retweets and 900 likes. help me :(un,Negative
the email I was hoping I'd get today,Negative
 didn't arrive unhappy  here's hoping tomorrow it does,Negative
Haha mate its all good I love a debte I just wished the center ,Negative
wowwow these are all so cute unhappy  i wantt ,Negative
That sucks unhappy ,Negative
instant message getting sad unhappy ,Negative
wow unhappy  people are so mean  ,Negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,Negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,Negative
I love them with all my hort unhappy  ,Negative
Golly gosh. This is simply dreadful What havoc must be wreaking subsurface? Black salve won't ,Negative
Autograph book at the ready,Negative
 no sign of Garry Barlow yet sad ,Negative
Thank you roshhh  i miss you and everyone too.  love youuu more ,Negative
please meeeee you have followed me for almost to  years now unhappy ,Negative
what happened unhappy ,Negative
True! Khilado kuch unhappy ,Negative
realized i havent eaten rice maghapon because i finished 3 packs of spicy seafood noodles + to  extra big chilimansi :(acid attack right now,Negative
Post-show blues are hitting hard. unhappy ,Negative
all ready for its poster - when my computer gets,Negative
good morning unhappy ,Negative
Wht sort of thing (can't use word person for it)can cause such suffering to ths sad ,Negative
i want to kiss his nose and tell him i love him sad ,Negative
i stayed 3 hours on the phone with aD my bubbyyyyyyy i miss her unhappy ,Negative
No girl unhappy  that's why. Wa ropiwa 1. Sandton is unnecessarily expensive2. Try salons in Braam.,Negative
I was actually looking forward to seeing if your theory around his personal vote was correct unhappy ,Negative
Who to bring to MB man unhappy ,Negative
I am sad to report that the robins egg my mom found in the yard after a storm has been taken off life support. Poor thing is too frozen unhappy ,Negative
Her back unhappy  ,Negative
slight buzy kasi besh unhappy  ,Negative
When you're late to work because you had to break the news to the lovely lady who cleans the house... crying together unhappy ,Negative
They stopped having them when they got rid of the toy surprises at the bottom unhappy ,Negative
tell me unhappy  why,Negative
i cant find my striped shirt unhappy  so instant message wearing the one that says what is your favorite thing? with lucas in the middle,Negative
Guys please help me retweet unhappy  ,Negative
there's always shit like this. there's always people who are less deserving getting tickets,Negative
 and winning giveaways etc unhappy ,Negative
truuuu!! si grim reaper and sunny huhu grabe love story nila unhappy ,Negative
I caught a cold. unhappy  It seems I've got tired than I expected....,Negative
Shameful,Negative
 shameful business :(Stop paying giant corporations for foods you just don't need.... wake up people plea ,Negative
I miss my baby unhappy ,Negative
HOLY SHIT! 40 pages script of the opening scene of Man Of Steel on Krypton got compressed.I wish I could at least,Negative
Late nights ,Negative
I face swapped a cat with a dog and it's really upsetting unhappy  ,Negative
failed unhappy  .g hehe,Negative
I miss my boo so much unhappy ,Negative
I need a car unhappy  but no car unhappy  poor me unhappy ,Negative
I wish i could attend it too unhappy ,Negative
ikr. I would have trauma if i ware him unhappy ,Negative
4/20 today,Negative
 but it wasn't lit at all unhappy ,Negative
why is life so unfair? unhappy ,Negative
The biblical lectures are coming. More notification soon. Tomorrow,Negative
 in fact. ,Negative
I'm so glad I don't care what people think anymore but I wish I still looked my best everyday like I used too sad  I just pick,Negative
MUZ U MORE,Negative
 SURE NO PROB. ILABYU TOO  ,Negative
Such a lucky slave i wish this was me unhappy ,Negative
instant message still hoping unhappy  ,Negative
fuck unhappy ,Negative
i tak ambik wedding package cause i is poor unhappy  i ambik aromaterapi massage je hajxjsjsj. Hehe see uuuu jwa ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
unhappy  let's fight all those kids ,Negative
it's not cassandra cain. unhappy  not sure i want to watch batbuffy. batwoman would have been more interesting. ,Negative
Half of the time it doesn't load,Negative
 the other half of the time it crashes unhappy  It's embarassing when I' ,Negative
right i don%27t see how people can just do shit like this ,Negative
i miss hoseok unhappy  ,Negative
Left few months in HinHua ler unhappy  I need to gambateh wink  ,Negative
A fish killer going to be pressed younhappy  I the hoe of today you were a  GOOD person ,Negative
She loved Beth so much unhappy ,Negative
prince baekhyun.....throw me into the dungeon please i don't deserve to see your beautiful face unhappy ,Negative
They are family.  It's awful when they go.  Sorry to hear. unhappy ,Negative
I face swapped a cat with a dog and it's really upsetting unhappy  ,Negative
my honey unhappy  ,Negative
We all do unhappy  Pizza in Taiwan! Its like a swift,Negative
 flavorful dream ,Negative
Can't :(Tello,Negative
Swear I just walked past haha,Negative
 didn't get a chance to say hi unhappy ,Negative
I miss quacktopia! unhappy ,Negative
are dying of thirst  and it's all because of us unhappy   ,Negative
Goodnight I love these beautiful boys unhappy  ,Negative
Why no available in the U.K.? unhappy ,Negative
Ailes sure knew how to make a great network!  Fox is going downhill wi ,Negative
penge damit unhappy ,Negative
I'm sorry unhappy ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
i'm hungry unhappy ,Negative
Finals are next week unhappy  wish me luck x,Negative
I miss Temperance Brennan and Seeley Booth so much unhappy ,Negative
I miss quacktopia! unhappy ,Negative
I said D2 largely because SD D2 doesn't run on newer versions of Mac OS and I miss playing it unhappy   HD woul ,Negative
follow mee plss unhappy  ,Negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,Negative
Babye old twitter unhappy ,Negative
congratyoulations Harry!!!!! Been with you since fifa 13!!!! Miss yoyour younboxing videos unhappy ,Negative
can't wait to see you in that film Karl! I wished you would be here were I'm bu,Negative
Cram reading unhappy ,Negative
I'm job searching and got none so:(ButHedonism i got in abundance,Negative
it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,Negative
